iter	MultiClass
0	2.838587454
1	2.801789032
2	2.721687014
3	2.677609946
4	2.620975736
5	2.570839643
6	2.525589998
7	2.470349498
8	2.428368714
9	2.391666648
10	2.350842214
11	2.320335865
12	2.287649379
13	2.254323628
14	2.215177256
15	2.200068785
16	2.158795359
17	2.135273971
18	2.115585158
19	2.103949309
20	2.082047218
21	2.034074317
22	2.011591261
23	1.999435288
24	1.982269628
25	1.963781873
26	1.944449044
27	1.928457024
28	1.91248475
29	1.891155229
30	1.871211263
31	1.854856006
32	1.828654288
33	1.800843135
34	1.789887965
35	1.77260213
36	1.76310235
37	1.749735375
38	1.730725425
39	1.720420211
40	1.70411625
41	1.688973078
42	1.670352
43	1.650964284
44	1.639939585
45	1.622120918
46	1.607944455
47	1.587757844
48	1.570658158
49	1.560658436
50	1.552013419
51	1.543547003
52	1.53342786
53	1.528716292
54	1.513153946
55	1.504446832
56	1.490665797
57	1.483238138
58	1.47666948
59	1.468209198
60	1.455564539
61	1.446147243
62	1.428450308
63	1.420065799
64	1.415453457
65	1.407644656
66	1.395674853
67	1.38471427
68	1.377007936
69	1.368638831
70	1.358065556
71	1.346763236
72	1.33918735
73	1.333353045
74	1.329225626
75	1.320550173
76	1.315557788
77	1.30900656
78	1.293587333
79	1.290627254
80	1.281963884
81	1.269739119
82	1.261982934
83	1.257514372
84	1.250686011
85	1.23902515
86	1.227296946
87	1.218603333
88	1.213421515
89	1.209327045
90	1.201477548
91	1.193238219
92	1.187995858
93	1.176985047
94	1.172138841
95	1.16522876
96	1.160121587
97	1.152591511
98	1.143287304
99	1.137647284
100	1.130494609
101	1.126715119
102	1.125305164
103	1.11913345
104	1.112885631
105	1.110498789
106	1.105802225
107	1.09736121
108	1.089891187
109	1.08500366
110	1.080777456
111	1.078681374
112	1.075075479
113	1.071681738
114	1.069669632
115	1.061298167
116	1.057442403
117	1.05337129
118	1.050675743
119	1.045219364
120	1.04171839
121	1.03773776
122	1.0345557
123	1.031009075
124	1.030026997
125	1.026999537
126	1.025734916
127	1.022684305
128	1.022159152
129	1.019851981
130	1.016710855
131	1.014953982
132	1.010839278
133	1.00661876
134	1.003357852
135	0.9974034559
136	0.9965285924
137	0.9958711422
138	0.9946600553
139	0.9901235508
140	0.9869938778
141	0.9834511911
142	0.9818429134
143	0.9775333048
144	0.973046678
145	0.9707960874
146	0.967869749
147	0.9656155328
148	0.9622028054
149	0.960478957
150	0.95810899
151	0.9577944681
152	0.9537654076
153	0.9495779991
154	0.9464159441
155	0.9446457782
156	0.9406058777
157	0.937531028
158	0.9343745909
159	0.9326446723
160	0.9323574401
161	0.9276219219
162	0.9253739281
163	0.9223990732
164	0.9210069787
165	0.9202045642
166	0.9160449201
167	0.9134987822
168	0.9131944915
169	0.9101843256
170	0.9053355023
171	0.9026689012
172	0.9011693577
173	0.898165154
174	0.8970228021
175	0.8934572457
176	0.8915580838
177	0.8905748094
178	0.887769956
179	0.8836394608
180	0.8810675728
181	0.8802051122
182	0.878536786
183	0.8766406966
184	0.8751520382
185	0.8738163338
186	0.8712300078
187	0.8685132468
188	0.8672447407
189	0.8657904996
190	0.8652586805
191	0.8618276457
192	0.8612682906
193	0.8601233038
194	0.8598115428
195	0.8583165525
196	0.8563568863
197	0.8548463119
198	0.8524619092
199	0.8503552336
200	0.8475798408
201	0.8463115552
202	0.8452035836
203	0.8434952978
204	0.8410303364
205	0.8384996156
206	0.8381650391
207	0.8349432936
208	0.8327474326
209	0.8325094045
210	0.8309827691
211	0.8299054494
212	0.8291605311
213	0.8266760966
214	0.8226142981
215	0.8197244534
216	0.8192572872
217	0.8180641538
218	0.8165549798
219	0.8145080993
220	0.8135258555
221	0.8092596754
222	0.8088631433
223	0.8072959214
224	0.8065759874
225	0.8057606887
226	0.8042172553
227	0.8020205412
228	0.8017022288
229	0.8002034713
230	0.798842798
231	0.7978381654
232	0.7943242872
233	0.7922857794
234	0.7902363428
235	0.7884229052
236	0.7871118408
237	0.785669526
238	0.7834385441
239	0.7827669444
240	0.7819304977
241	0.7802295989
242	0.777364777
243	0.7749089891
244	0.773554963
245	0.7720278814
246	0.7705142794
247	0.7693923056
248	0.767488939
249	0.7664210733
250	0.7639112736
251	0.7630924426
252	0.7611812453
253	0.7609975295
254	0.760612288
255	0.7593328072
256	0.7564085896
257	0.7532880629
258	0.7511698592
259	0.7509405045
260	0.7496858079
261	0.7494268
262	0.7475088462
263	0.746453564
264	0.7447675188
265	0.7445534121
266	0.7418282742
267	0.7406711999
268	0.7403637979
269	0.7392560563
270	0.7387883882
271	0.7360996286
272	0.7351908815
273	0.7348865003
274	0.734049961
275	0.7329414876
276	0.7320392322
277	0.7313480092
278	0.7300903554
279	0.7286786476
280	0.7267795593
281	0.7260492924
282	0.7250967772
283	0.7239979578
284	0.7208229925
285	0.7178933746
286	0.7161870045
287	0.715999656
288	0.714650754
289	0.7139510501
290	0.7136733513
291	0.7124029885
292	0.7097239716
293	0.7082576949
294	0.7079958925
295	0.7073877656
296	0.7071437354
297	0.7053278292
298	0.7034908111
299	0.7020431151
300	0.7014232311
301	0.700501678
302	0.7003082453
303	0.6991115632
304	0.6971370277
305	0.6961574805
306	0.6958865488
307	0.6950731252
308	0.6941611276
309	0.6908933146
310	0.6896460029
311	0.6880650696
312	0.6875341077
313	0.6868739126
314	0.6854610452
315	0.6832937365
316	0.6822240389
317	0.6812828662
318	0.6801966466
319	0.6784448103
320	0.6778470948
321	0.6764746541
322	0.6757912423
323	0.674561365
324	0.6742596567
325	0.6740889822
326	0.6734685397
327	0.6724990426
328	0.6720457265
329	0.6712621684
330	0.6700484162
331	0.6694731813
332	0.6692693082
333	0.6684991236
334	0.6680479271
335	0.6671682679
336	0.6660872817
337	0.6653434289
338	0.6643000897
339	0.6641749213
340	0.6635594345
341	0.6633770654
342	0.6628522542
343	0.6613220358
344	0.659980418
345	0.6596655576
346	0.6595309039
347	0.6592807012
348	0.6580906567
349	0.6557305843
350	0.6547864376
351	0.6543752815
352	0.6540927625
353	0.6538487558
354	0.6510344491
355	0.6499659991
356	0.6491516344
357	0.6483318174
358	0.6459481849
359	0.644854658
360	0.6438667154
361	0.642105951
362	0.6404922057
363	0.6398788458
364	0.6393664498
365	0.6387703934
366	0.6380379323
367	0.6366797384
368	0.6357914743
369	0.634237528
370	0.6326490041
371	0.6318630824
372	0.6305578432
373	0.6289076413
374	0.6272076063
375	0.6265510969
376	0.6248315121
377	0.6234709117
378	0.6229664237
379	0.6213812703
380	0.6208339775
381	0.6203332301
382	0.6192052875
383	0.6180879718
384	0.6165587006
385	0.6158321702
386	0.614495328
387	0.6137873956
388	0.6134234941
389	0.6110777056
390	0.6104666641
391	0.6098501129
392	0.6091375505
393	0.6084615322
394	0.6078688186
395	0.6065574522
396	0.6060317028
397	0.6054315998
398	0.6047703508
399	0.6034449071
