НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ
Штурм Глубины. Подводные лодки.;https://vk.com/deep_storm;113686777;164;19402;1.52%;0.85;;;;
Судоводители | Школа Капитанов;https://vk.com/skimd;18859;163;5264;1.51%;03.окт;;;;
Подслушано в ГМУ им.Ф.Ф.Ушакова;https://vk.com/podslushanovgmu;60078499;154;16274;1.42%;0.95;;;;
SEACONTACT;https://vk.com/club_seacontact;101763341;151;11421;1.40%;янв.32;;;;
Proscalp | SMP | Трихопигментация;https://vk.com/proscalp;8679219;149;11652;1.38%;янв.28;;;;
- = Crewing = -;https://vk.com/crewing;16328368;145;5588;1.34%;фев.59;;;;
Студенты водного транспорта;https://vk.com/fleet_students;138751307;134;3028;1.24%;апр.43;;;;
Полундра | Помощь судоводителю;https://vk.com/polundrahelp;168406070;134;3629;1.24%;мар.69;;;;
ВОДОЛАЗНАЯ СТАНЦИЯ;https://vk.com/club111504159;111504159;133;6470;1.23%;02.июн;;;;
Подслушано в ИВТ им.Седова;https://vk.com/club62381886;62381886;132;6406;1.22%;02.июн;;;;
Барахолка | Авто | Керчь;https://vk.com/avto_kerch_2;120225301;130;24137;1.20%;0.54;;;;
Дневник Моряка;https://vk.com/club114294261;114294261;129;2938;1.19%;апр.39;;;;
МОРЯКИ, ИХ ДЕВУШКИ И ЖЁНЫ;https://vk.com/seamen_seawomen;5029998;128;18488;1.18%;0.69;;;;
Объединенная судостроительная корпорация;https://vk.com/aoosk;101090476;128;22322;1.18%;0.57;;;;
Морской юмор;https://vk.com/seahumor;58268683;127;4672;1.17%;фев.72;;;;
Подслушано ГУМРФ;https://vk.com/oceanoplet;58992770;127;12167;1.17%;01.апр;;;;
СамЭлектрик.ру;https://vk.com/samelectric;109281259;125;17153;1.16%;0.73;;;;
